'Antenna with N-connector',  1
'Li-Ion/LiFePo4 32700 3.2v',  1
'Battery negative contact',  1
'Battery positive contact',  1
'Conduit diameter 40mmlength 2000mm',  1
'Nut M3 x 2.4mm ',  6
'Nut M4 x 3.2mm ',  3
'Nut M6 x 5mm ',  1
'Heltec T144',  1
'1S 3.2V battery protection board',  1
'MPPT Solar Charge Controller',  1
'Screw M3 pan x 12mm',  2
'Screw M3 pan x 16mm',  2
'Screw M3 pan x 18mm',  2
'Screw M4 pan x 16mm',  3
'Screw M6 hex x 50mm',  1
'Washer  M3 x 7mm x 0.5mm',  6
'Washer  M4 x 9mm x 0.8mm',  3
'Ziptie 3.6mm x 178mm min length',  2
